genes
THSD7A
TTC22
LGALS14
PROM1
PLEKHG6
SEC62
SLC6A13
FMO1
UTP18
DCN
ALOX5
CD6
SLC30A9
RB1CC1
HSD17B6
MIPEP
RABEP1
HMGB3
STAP1
BEST2
BARX2
EPHA3
MAGEC2
KCNQ1
NDC1
BTBD1
CD84
ACSM2B
IARS2
STON1-GTF2A1L
ADGRF5
RPL31
TRIB2
ST6GAL1
SRI
ACAT1
ARHGAP15
SPAG6
TIGAR
CDH17
XRCC5
SP140
AFP
COL4A4
PTPRC
FYB1
COBLL1
LYRM2
EPYC
PPIE
IPO11
CETP
F11
SNX5
MRPS33
LYZ
FETUB
KIF4A
FH
TBL1Y
WDR76
CLSPN
CDC45
BLNK
MYO3A
TPSD1
CENPM
DMC1
HSCB
PNPLA3
CSF2RB
IL2RB
BRMS1L
PROCR
SMARCA1
MTMR8
OPN1LW
CYB5B
PRSS54
CLUAP1
SLC6A2
ATP8B4
EIF3J
DECR1
EMC2
CCN4
ADAM2
CGB2
DKKL1
KIR3DX1
LILRA1
URI1
CRX
SIGLEC5
CABP5
LILRB5
SLC5A5
TFPI2
BET1
PTN
TFEC
MET
WNT2
CHCHD2
PTPRZ1
RPA3
DOCK8
CXCL12
STN1
AKAP10
CCL8
CCL1
GNRHR
SMR3A
NMU
PF4V1
ANXA10
CTSC
MS4A4A
CCND1
IL10RA
SOX6
RPS13
FGF6
MYL2
CREBL2
OAS2
ART4
ARHGDIB
RERGL
LDHB
KLRB1
RWDD1
GCNT2
HDDC2
MTRF1L
ACOT13
TRIM38
CCR6
UNC93A
SEMA5A
NNT
BTNL8
ST8SIA4
C9
CDX1
HRG
CLDN16
ARL6
PCCB
TFDP2
ECT2
MORC1
SSR3
CCL20
ITGA4
IFIH1
SMYD1
KYNU
WDR77
LAMTOR2
PLA2G4A
OLFML3
SLAMF1
PLA2G2D
GBP3
IRF6
CENPF
FASTKD2
NRP2
IRAG2
ABCG2
MFSD1
HSDL2
DNAL1
SLIRP
HOXB1
MSX2
TASL
MRPS14
ADCY7
IAPP
CSTA
DPPA4
NAA50
CCR2
TNFSF10
RPL21
PLA2G12A
PFKFB2
MOGAT1
FAM124B
